Company Name,Market Cap,Year,Quarter,Negative Sentiment Score,Positive Sentiment Score,Neutral Sentiment Score,Negative Sentiment Count,Positive Sentiment Count,Neutral Sentiment Count,Doc Sentiment Score,Symbol,Sector
Agilent Technologies Inc,35108391360,2023,2,0.12067558,0.299776939,0.579547481,0.125703565,0.294559099,0.579737336,0.168855535,A,healthcare
Akumin Inc,12669789,2023,2,0.199464311,0.185851863,0.614683826,0.19873817,0.1829653,0.61829653,-0.015772871,AKU,healthcare
Applied DNA Sciences Inc,17426475,2023,2,0.070265031,0.292024077,0.637710891,0.073394495,0.293577982,0.633027523,0.220183486,APDN,healthcare
Caredx Inc,463696522,2023,2,0.09281164,0.277261185,0.629927175,0.092544987,0.277634961,0.629820051,0.185089974,CDNA,healthcare
Charles River Laboratories,10283156439,2023,2,0.103901627,0.301725283,0.59437309,0.104587156,0.297247706,0.598165138,0.19266055,CRL,healthcare
Castle Biosciences Inc,478308096,2023,2,0.013855108,0.282569933,0.70357496,0.017064846,0.283276451,0.699658703,0.266211604,CSTL,healthcare
Quest Diagnostics Incorporated,14884876010,2023,2,0.106279289,0.362971968,0.530748743,0.108991826,0.36239782,0.528610354,0.253405995,DGX,healthcare
Danaher Corporation,1.84714E+11,2023,2,0.145124105,0.27828051,0.576595385,0.146974063,0.279538905,0.573487032,0.132564841,DHR,healthcare
DermTech Inc,71817669,2023,2,0.095155538,0.284732571,0.620111891,0.097276265,0.287937743,0.614785992,0.190661479,DMTK,healthcare
DarioHealth Corp.,71702736,2023,2,0.062513231,0.357054625,0.580432144,0.063670412,0.355805243,0.580524345,0.292134831,DRIO,healthcare
EXACT Sciences Corporation,14854897908,2023,2,0.049390015,0.292172733,0.658437252,0.050691244,0.292626728,0.656682028,0.241935484,EXAS,healthcare
Fulgent Genetics Inc,995287212,2023,2,0.039675427,0.339751721,0.620572852,0.043478261,0.339130435,0.617391304,0.295652174,FLGT,healthcare
Genetic Technologies Ltd,15719963,2023,2,0.009456125,0.337936423,0.652607452,0.009259259,0.337962963,0.652777778,0.328703704,GENE,healthcare
"Guardant Health, Inc.",4422035000,2023,2,0.041719998,0.327198881,0.631081122,0.042553191,0.323877069,0.63356974,0.281323877,GH,healthcare
ICON PLC,20386243772,2023,2,0.061814352,0.259042819,0.679142829,0.069711538,0.254807692,0.675480769,0.185096154,ICLR,healthcare
IDEXX Laboratories Inc,39956951698,2023,2,0.074758733,0.48411178,0.441129488,0.077777778,0.477777778,0.444444444,0.4,IDXX,healthcare
Illumina Inc,26467521000,2023,2,0.186450217,0.261287445,0.552262338,0.189839572,0.259358289,0.550802139,0.069518717,ILMN,healthcare
IQVIA Holdings Inc,39774281925,2023,2,0.091092592,0.30595201,0.602955397,0.095477387,0.309045226,0.595477387,0.213567839,IQV,healthcare
iSpecimen Inc,10835244,2023,2,0.088527167,0.294022524,0.617450309,0.093137255,0.289215686,0.617647059,0.196078431,ISPC,healthcare
Standard Biotools Inc,210855370,2023,2,0.056126091,0.503841816,0.440032092,0.059259259,0.503703704,0.437037037,0.444444444,LAB,healthcare
Laboratory Corporation of America Holdings,19104818000,2023,2,0.046035589,0.316533482,0.637430929,0.047858942,0.317380353,0.634760705,0.269521411,LH,healthcare
23andMe Holding Co.,525830687,2023,2,0.021455768,0.264875362,0.71366887,0.023529412,0.270588235,0.705882353,0.247058824,ME,healthcare
Medpace Holdings Inc,7502168618,2023,2,0.099980625,0.22473704,0.675282336,0.108597285,0.230769231,0.660633484,0.122171946,MEDP,healthcare
